postcode,suburb,region,organisation ID,council name
2646,Ringwood,The Murray,MARO,Maroondah City
2648,Wentworth,The Murray,EGIP,East Gippsland Shire Council
2653,Glenroy,The Murray,MORE,Moreland City
2653,Taradale,The Murray,MOUN,Mount Alexander Shire
2653,Taradale,The Murray,MACE,Macedon Ranges Shire
2653,Taradale,The Murray,HEPB,Hepburn Shire
2658,Henty,The Murray,GNEL,Glenelg Shire
2711,Oxley,The Murray,WANG,Rural City of Wangaratta
2714,PINE LODGE,The Murray,GSHE,Greater Shepparton City
3000,Melbourne,Melbourne,MELC,City of Melbourne - What&#039;s On
3000,Melbourne,Melbourne,PPHI,City of Port Phillip
3002,East Melbourne,Melbourne,MELC,City of Melbourne - What&#039;s On
3003,West Melbourne,Melbourne,MELC,City of Melbourne - What&#039;s On
3006,Southbank,Melbourne,MELC,City of Melbourne - What&#039;s On
3006,Southbank,Melbourne,PPHI,City of Port Phillip
3008,Docklands,Melbourne,MELC,City of Melbourne - What&#039;s On
3011,Footscray,Melbourne,MARI,Maribyrnong City Council
3012,Kingsville,Melbourne,MARI,Maribyrnong City Council
3012,Maidstone,Melbourne,MARI,Maribyrnong City Council
3012,Tottenham,Melbourne,MARI,Maribyrnong City Council
3012,West Footscray,Melbourne,MARI,Maribyrnong City Council
3013,Seddon,Melbourne,MARI,Maribyrnong City Council
3013,Yarraville,Melbourne,MARI,Maribyrnong City Council
3015,Newport,Melbourne,HOBS,Hobsons Bay City
3015,South Kingsville,Melbourne,HOBS,Hobsons Bay City
3015,Spotswood,Melbourne,HOBS,Hobsons Bay City
3016,Williamstown,Melbourne,HOBS,Hobsons Bay City
3016,Williamstown North,Melbourne,HOBS,Hobsons Bay City
3018,Altona,Melbourne,HOBS,Hobsons Bay City
3018,Seaholme,Melbourne,HOBS,Hobsons Bay City
3019,Braybrook,Melbourne,MARI,Maribyrnong City Council
3020,Albion,Melbourne,BRIM,Brimbank City
3020,Sunshine,Melbourne,BRIM,Brimbank City
3020,Sunshine North,Melbourne,BRIM,Brimbank City
3020,Sunshine West,Melbourne,BRIM,Brimbank City
3021,Albanvale,Melbourne,BRIM,Brimbank City
3021,Kealba,Melbourne,BRIM,Brimbank City
3021,Kings Park,Melbourne,BRIM,Brimbank City
3021,St Albans,Melbourne,BRIM,Brimbank City
3022,Ardeer,Melbourne,BRIM,Brimbank City
3023,Burnside,Melbourne,MELT,Melton Shire
3023,Cairnlea,Melbourne,BRIM,Brimbank City
3023,Caroline Springs,Melbourne,MELT,Melton Shire
3023,Deer Park,Melbourne,BRIM,Brimbank City
3023,Ravenhall,Melbourne,MELT,Melton Shire
3024,Mambourin,Melbourne,WYND,Wyndham City Council
3024,Wyndham Vale,Melbourne,WYND,Wyndham City Council
3025,Altona North,Melbourne,HOBS,Hobsons Bay City
3025,Brooklyn,Melbourne,HOBS,Hobsons Bay City
3025,Brooklyn,Melbourne,BRIM,Brimbank City
3026,Laverton North,Melbourne,WYND,Wyndham City Council
3028,Altona Meadows,Melbourne,HOBS,Hobsons Bay City
3028,Laverton,Melbourne,HOBS,Hobsons Bay City
3028,Laverton,Melbourne,WYND,Wyndham City Council
3028,Seabrook,Melbourne,HOBS,Hobsons Bay City
3029,Hoppers Crossing,Melbourne,WYND,Wyndham City Council
3029,Tarneit,Melbourne,WYND,Wyndham City Council
3029,Truganina,Melbourne,WYND,Wyndham City Council
3029,Truganina,Melbourne,MELT,Melton Shire
3030,Cocoroc,Melbourne,WYND,Wyndham City Council
3030,Derrimut,Melbourne,BRIM,Brimbank City
3030,Point Cook,Melbourne,WYND,Wyndham City Council
3030,Werribee,Melbourne,WYND,Wyndham City Council
3030,Werribee South,Melbourne,WYND,Wyndham City Council
3031,Flemington,Melbourne,MELC,City of Melbourne - What&#039;s On
3031,Flemington,Melbourne,MOON,Moonee Valley City
3031,Kensington,Melbourne,MOON,Moonee Valley City
3031,Kensington,Melbourne,MELC,City of Melbourne - What&#039;s On
3032,Ascot Vale,Melbourne,MOON,Moonee Valley City
3032,Maribyrnong,Melbourne,MARI,Maribyrnong City Council
3032,Travancore,Melbourne,MOON,Moonee Valley City
3033,Keilor East,Melbourne,MOON,Moonee Valley City
3033,Keilor East,Melbourne,BRIM,Brimbank City
3034,Avondale Heights,Melbourne,MOON,Moonee Valley City
3036,Keilor,Melbourne,HUME,Hume City
3036,Keilor,Melbourne,BRIM,Brimbank City
3037,Delahey,Melbourne,BRIM,Brimbank City
3037,Hillside,Melbourne,BRIM,Brimbank City
3037,Hillside,Melbourne,EGIP,East Gippsland Shire Council
3037,Hillside,Melbourne,MELT,Melton Shire
